"The file you uploaded is larger than %s Megabytes allowed by server","The file you uploaded is larger than %s Megabytes allowed by server"
"File upload failed","File upload failed"
"The file '%s' has an invalid extension","The file '%s' has an invalid extension"
"Maximum allowed image width for '%s' is %s px.","Maximum allowed image width for '%s' is %s px."
"Maximum allowed image height for '%s' is %s px.","Maximum allowed image height for '%s' is %s px."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Customize your account with an avatar","Customize your account with an avatar"
"Browse","Browse"
"Please select an image (.jpg ou .png ou .gif)","Please select an image (.jpg ou .png ou .gif)"
"Your avatar is being checked by our team","Your avatar is being checked by our team"
"To moderate","To moderate"
"Accepted","Accepted"
"Rejected","Rejected"
"Avatar validation","Avatar validation"
"No avatar","No avatar"
